HardwareVendor,SystemEnclosure,Nodes,JVMVendor,Processor,MHz,Chips,Cores,TotalThreads,TotalMemoryGB,OverallPowerUsageWatt,SystemEnclosure_split,SystemEnclosure_len,year,SystemEnclosure_cleaned,Processor_general
ASUSTeK Computer Inc.,"RS720-E9/RS8  Dec 6, 2018 | HTML | Text",1,Oracle,Intel Xeon Platinum 8180,2500,2,56,112,192,12727,"['RS720-E9/RS8  Dec 6', ' 2018 ']",2, 2018 ,RS720-E9/RS8 ,Intel
ASUSTeK Computer Inc. ASUSTeK Company Inc.,"ASUS RS160-E5 (Intel Xeon L5430 Processor, 2.66 GHz)  Nov 20, 2008 | HTML | Text",1,Oracle,Intel Xeon L5430,2666,2,8,8,8,1020,"['ASUS RS160-E5 (Intel Xeon L5430 Processor', ' 2.66 GHz)  Nov 20', ' 2008 ']",3, 2008 ,ASUS RS160-E5 (Intel Xeon L5430 Processor  2.66 GHz)  ,Intel
ASUSTeK Computer Inc. ASUSTeK Company Inc.,"ASUS RS160-E5 (Intel Xeon L5420 Processor, 2.50 GHz)  Nov 20, 2008 | HTML | Text",1,Oracle,Intel Xeon L5420,2500,2,8,8,8,1009,"['ASUS RS160-E5 (Intel Xeon L5420 Processor', ' 2.50 GHz)  Nov 20', ' 2008 ']",3, 2008 ,ASUS RS160-E5 (Intel Xeon L5420 Processor  2.50 GHz)  ,Intel
ASUSTeK Computer Inc. ASUSTeK Company Inc.,"ASUS RS100-E5 (Intel Xeon X3360 Processor, 2.83 GHz)  Jan 2, 2009 | HTML | Text",1,Oracle,Intel Xeon X3360 Processor,2833,1,4,4,4,905,"['ASUS RS100-E5 (Intel Xeon X3360 Processor', ' 2.83 GHz)  Jan 2', ' 2009 ']",3, 2009 ,ASUS RS100-E5 (Intel Xeon X3360 Processor  2.83 GHz) ,Intel
Acer Incoporated Acer Incorporated,"Acer AR360 F2  Jan 9, 2013 | HTML | Text",1,IBM,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,3900,"['Acer AR360 F2  Jan 9', ' 2013 ']",2, 2013 ,Acer AR360 F2 ,Intel
Acer Incorporated,"Altos R520  Oct 9, 2008 | HTML | Text",1,Oracle,Intel Xeon E5450,3000,2,8,8,16,731,"['Altos R520  Oct 9', ' 2008 ']",2, 2008 ,Altos R520 ,Intel
Acer Incorporated,"Altos R720  Dec 4, 2008 | HTML | Text",1,Oracle,Intel Xeon L5430,2667,2,8,8,8,810,"['Altos R720  Dec 4', ' 2008 ']",2, 2008 ,Altos R720 ,Intel
Acer Incorporated,"Altos R520  Dec 17, 2008 | HTML | Text",1,Oracle,Intel Xeon L5430,2667,2,8,8,8,863,"['Altos R520  Dec 17', ' 2008 ']",2, 2008 ,Altos R520  ,Intel
Acer Incorporated,"Altos G540 M2  Sep 23, 2009 | HTML | Text",1,Oracle,Intel Xeon X5570,2930,2,8,16,8,1522,"['Altos G540 M2  Sep 23', ' 2009 ']",2, 2009 ,Altos G540 M2  ,Intel
Acer Incorporated,"Gateway GR160 F1  Nov 18, 2009 | HTML | Text",1,Oracle,Intel Xeon L5520,2266,2,8,16,8,1515,"['Gateway GR160 F1  Nov 18', ' 2009 ']",2, 2009 ,Gateway GR160 F1  ,Intel
Acer Incorporated,"Gateway GW1000-GW170 F1 GW1000  Nov 18, 2009 | HTML | Text",2,Oracle,Intel Xeon L5520,2266,4,16,32,16,1588,"['Gateway GW1000-GW170 F1 GW1000  Nov 18', ' 2009 ']",2, 2009 ,Gateway GW1000-GW170 F1 GW1000  ,Intel
Acer Incorporated,"Gateway GW2000h-GW170h F1 GW2000h  Dec 30, 2009 | HTML | Text",4,Oracle,Intel Xeon L5520,2266,8,32,64,32,1674,"['Gateway GW2000h-GW170h F1 GW2000h  Dec 30', ' 2009 ']",2, 2009 ,Gateway GW2000h-GW170h F1 GW2000h  ,Intel
Acer Incorporated,"Acer AR380 F1  Apr 7, 2010 | HTML | Text",1,Oracle,Intel Xeon L5530,2400,2,8,16,8,1597,"['Acer AR380 F1  Apr 7', ' 2010 ']",2, 2010 ,Acer AR380 F1 ,Intel
Acer Incorporated,"Gateway GR380 F1  Apr 7, 2010 | HTML | Text",1,Oracle,Intel Xeon L5530,2400,2,8,16,8,1592,"['Gateway GR380 F1  Apr 7', ' 2010 ']",2, 2010 ,Gateway GR380 F1 ,Intel
Acer Incorporated,"Acer AT350 F1  Apr 21, 2010 | HTML | Text",1,Oracle,Intel Xeon L5530,2400,2,8,16,8,1618,"['Acer AT350 F1  Apr 21', ' 2010 ']",2, 2010 ,Acer AT350 F1  ,Intel
Acer Incorporated,"Gateway GT350 F1  Apr 21, 2010 | HTML | Text",1,Oracle,Intel Xeon L5530,2400,2,8,16,8,1630,"['Gateway GT350 F1  Apr 21', ' 2010 ']",2, 2010 ,Gateway GT350 F1  ,Intel
Acer Incorporated,"Acer AT110 F1  May 19, 2010 | HTML | Text",1,Oracle,Intel Xeon Processor L3360,2833,1,4,4,4,1243,"['Acer AT110 F1  May 19', ' 2010 ']",2, 2010 ,Acer AT110 F1  ,Intel
Acer Incorporated,"Gateway GT110 F1  May 19, 2010 | HTML | Text",1,Oracle,Intel Xeon Processor L3360,2833,1,4,4,4,1263,"['Gateway GT110 F1  May 19', ' 2010 ']",2, 2010 ,Gateway GT110 F1  ,Intel
Acer Incorporated,"Gateway GR380 F1 (Intel Xeon X5670, 2.93 GHz)  Jul 14, 2010 | HTML | Text",1,IBM,Intel Xeon X5670,2933,2,12,24,12,2519,"['Gateway GR380 F1 (Intel Xeon X5670', ' 2.93 GHz)  Jul 14', ' 2010 ']",3, 2010 ,Gateway GR380 F1 (Intel Xeon X5670  2.93 GHz)  ,Intel
Acer Incorporated,"Acer AR380 F1 (Intel Xeon X5670, 2.93 GHz)  Jul 14, 2010 | HTML | Text",1,IBM,Intel Xeon X5670,2933,2,12,24,12,2502,"['Acer AR380 F1 (Intel Xeon X5670', ' 2.93 GHz)  Jul 14', ' 2010 ']",3, 2010 ,Acer AR380 F1 (Intel Xeon X5670  2.93 GHz)  ,Intel
Acer Incorporated,"Gateway GW2000ht-GW170ht F1 Gateway GW2000ht  Aug 25, 2010 | HTML | Text",2,IBM,Intel Xeon X5670,2933,4,24,48,24,2098,"['Gateway GW2000ht-GW170ht F1 Gateway GW2000ht  Aug 25', ' 2010 ']",2, 2010 ,Gateway GW2000ht-GW170ht F1 Gateway GW2000ht  ,Intel
Acer Incorporated,"Acer AW2000ht-AW170ht F1 Acer AW2000ht  Aug 25, 2010 | HTML | Text",2,IBM,Intel Xeon X5670,2933,4,24,48,24,2099,"['Acer AW2000ht-AW170ht F1 Acer AW2000ht  Aug 25', ' 2010 ']",2, 2010 ,Acer AW2000ht-AW170ht F1 Acer AW2000ht  ,Intel
Acer Incorporated,"Gateway GR360 F1 (Intel Xeon X5670, 2.93 GHz)  Sep 22, 2010 | HTML | Text",1,IBM,Intel Xeon X5670,2933,2,12,24,12,2426,"['Gateway GR360 F1 (Intel Xeon X5670', ' 2.93 GHz)  Sep 22', ' 2010 ']",3, 2010 ,Gateway GR360 F1 (Intel Xeon X5670  2.93 GHz)  ,Intel
Acer Incorporated,"Acer AR360 F1 (Intel Xeon X5670, 2.93 GHz)  Sep 22, 2010 | HTML | Text",1,IBM,Intel Xeon X5670,2933,2,12,24,12,2414,"['Acer AR360 F1 (Intel Xeon X5670', ' 2.93 GHz)  Sep 22', ' 2010 ']",3, 2010 ,Acer AR360 F1 (Intel Xeon X5670  2.93 GHz)  ,Intel
Acer Incorporated,"Acer AT350 F1 (Intel Xeon X5670, 2.93 GHz)  Oct 6, 2010 | HTML | Text",1,IBM,Intel Xeon X5670,2933,2,12,24,12,2518,"['Acer AT350 F1 (Intel Xeon X5670', ' 2.93 GHz)  Oct 6', ' 2010 ']",3, 2010 ,Acer AT350 F1 (Intel Xeon X5670  2.93 GHz) ,Intel
Acer Incorporated,"Gateway GT350 F1(Intel Xeon X5670, 2.93 GHz)  Oct 6, 2010 | HTML | Text",1,IBM,Intel Xeon X5670,2933,2,12,24,12,2531,"['Gateway GT350 F1(Intel Xeon X5670', ' 2.93 GHz)  Oct 6', ' 2010 ']",3, 2010 ,Gateway GT350 F1(Intel Xeon X5670  2.93 GHz) ,Intel
Acer Incorporated,"Gateway GT150 F1(Intel Xeon X5670, 2.93 GHz)  Oct 6, 2010 | HTML | Text",1,IBM,Intel Xeon X5670,2933,2,12,24,12,2716,"['Gateway GT150 F1(Intel Xeon X5670', ' 2.93 GHz)  Oct 6', ' 2010 ']",3, 2010 ,Gateway GT150 F1(Intel Xeon X5670  2.93 GHz) ,Intel
Acer Incorporated,"Acer AT150 F1(Intel Xeon X5670, 2.93 GHz)  Oct 6, 2010 | HTML | Text",1,IBM,Intel Xeon X5670,2933,2,12,24,12,2724,"['Acer AT150 F1(Intel Xeon X5670', ' 2.93 GHz)  Oct 6', ' 2010 ']",3, 2010 ,Acer AT150 F1(Intel Xeon X5670  2.93 GHz) ,Intel
Acer Incorporated,"Acer AR160 F1(Intel Xeon X5670, 2.93 GHz)  Nov 3, 2010 | HTML | Text",1,IBM,Intel Xeon X5670,2933,2,12,24,12,2471,"['Acer AR160 F1(Intel Xeon X5670', ' 2.93 GHz)  Nov 3', ' 2010 ']",3, 2010 ,Acer AR160 F1(Intel Xeon X5670  2.93 GHz) ,Intel
Acer Incorporated,"Gateway GR160 F1(Intel Xeon X5670, 2.93 GHz)  Nov 3, 2010 | HTML | Text",1,IBM,Intel Xeon X5670,2933,2,12,24,12,2477,"['Gateway GR160 F1(Intel Xeon X5670', ' 2.93 GHz)  Nov 3', ' 2010 ']",3, 2010 ,Gateway GR160 F1(Intel Xeon X5670  2.93 GHz) ,Intel
Acer Incorporated,"Gateway GT115 F1 (AMD Opteron 4164EE, 1.80 GHz)  Nov 3, 2010 | HTML | Text",1,IBM,AMD Opteron 4164EE,1800,1,6,6,8,1971,"['Gateway GT115 F1 (AMD Opteron 4164EE', ' 1.80 GHz)  Nov 3', ' 2010 ']",3, 2010 ,Gateway GT115 F1 (AMD Opteron 4164EE  1.80 GHz) ,AMD
Acer Incorporated,"Acer AT115 F1 (AMD Opteron 4164EE, 1.80 GHz)  Nov 3, 2010 | HTML | Text",1,IBM,AMD Opteron 4164EE,1800,1,6,6,8,1980,"['Acer AT115 F1 (AMD Opteron 4164EE', ' 1.80 GHz)  Nov 3', ' 2010 ']",3, 2010 ,Acer AT115 F1 (AMD Opteron 4164EE  1.80 GHz) ,AMD
Acer Incorporated,"Gateway GW2000h-GW175h F1 Gateway GW2000h  Nov 10, 2010 | HTML | Text",4,IBM,AMD Opteron 6174,2200,8,96,96,64,2481,"['Gateway GW2000h-GW175h F1 Gateway GW2000h  Nov 10', ' 2010 ']",2, 2010 ,Gateway GW2000h-GW175h F1 Gateway GW2000h  ,AMD
Acer Incorporated,"Acer AW2000h-AW175h F1 Acer AW2000h  Nov 10, 2010 | HTML | Text",4,IBM,AMD Opteron 6174,2200,8,96,96,64,2474,"['Acer AW2000h-AW175h F1 Acer AW2000h  Nov 10', ' 2010 ']",2, 2010 ,Acer AW2000h-AW175h F1 Acer AW2000h  ,AMD
Acer Incorporated,"Acer AR385 F1 (AMD Opteron 6174, 2.20 GHz)  Nov 18, 2010 | HTML | Text",1,IBM,AMD Opteron 6174,2200,2,24,24,16,2424,"['Acer AR385 F1 (AMD Opteron 6174', ' 2.20 GHz)  Nov 18', ' 2010 ']",3, 2010 ,Acer AR385 F1 (AMD Opteron 6174  2.20 GHz)  ,AMD
Acer Incorporated,"Gateway GR385 F1 (AMD Opteron 6174, 2.20 GHz)  Nov 18, 2010 | HTML | Text",1,IBM,AMD Opteron 6174,2200,2,24,24,16,2426,"['Gateway GR385 F1 (AMD Opteron 6174', ' 2.20 GHz)  Nov 18', ' 2010 ']",3, 2010 ,Gateway GR385 F1 (AMD Opteron 6174  2.20 GHz)  ,AMD
Acer Incorporated,"Acer AR585 F1  Nov 18, 2010 | HTML | Text",1,IBM,AMD Opteron 6174,2200,4,48,48,32,2562,"['Acer AR585 F1  Nov 18', ' 2010 ']",2, 2010 ,Acer AR585 F1  ,AMD
Acer Incorporated,"Gateway GR585 F1  Nov 18, 2010 | HTML | Text",1,IBM,AMD Opteron 6174,2200,4,48,48,32,2555,"['Gateway GR585 F1  Nov 18', ' 2010 ']",2, 2010 ,Gateway GR585 F1  ,AMD
Acer Incorporated,"Acer AR320 F1 (Intel Xeon X3470, 2.93 GHz)  Dec 1, 2010 | HTML | Text",1,IBM,Intel Xeon X3470,2933,1,4,8,8,1911,"['Acer AR320 F1 (Intel Xeon X3470', ' 2.93 GHz)  Dec 1', ' 2010 ']",3, 2010 ,Acer AR320 F1 (Intel Xeon X3470  2.93 GHz) ,Intel
Acer Incorporated,"Gateway GR320 F1 (Intel Xeon X3470, 2.93 GHz)  Dec 1, 2010 | HTML | Text",1,IBM,Intel Xeon X3470,2933,1,4,8,8,1932,"['Gateway GR320 F1 (Intel Xeon X3470', ' 2.93 GHz)  Dec 1', ' 2010 ']",3, 2010 ,Gateway GR320 F1 (Intel Xeon X3470  2.93 GHz) ,Intel
Acer Incorporated,"Gateway GT310 F1 (Intel Xeon X3470, 2.93 GHz)  Dec 1, 2010 | HTML | Text",1,IBM,Intel Xeon X3470,2933,1,4,8,8,1987,"['Gateway GT310 F1 (Intel Xeon X3470', ' 2.93 GHz)  Dec 1', ' 2010 ']",3, 2010 ,Gateway GT310 F1 (Intel Xeon X3470  2.93 GHz) ,Intel
Acer Incorporated,"Acer AR180 F1(Intel Xeon X5670, 2.93 GHz)  Dec 1, 2010 | HTML | Text",1,IBM,Intel Xeon X5670,2933,2,12,24,12,2485,"['Acer AR180 F1(Intel Xeon X5670', ' 2.93 GHz)  Dec 1', ' 2010 ']",3, 2010 ,Acer AR180 F1(Intel Xeon X5670  2.93 GHz) ,Intel
Acer Incorporated,"Gateway GR180 F1(Intel Xeon X5670, 2.93 GHz)  Dec 1, 2010 | HTML | Text",1,IBM,Intel Xeon X5670,2933,2,12,24,12,2484,"['Gateway GR180 F1(Intel Xeon X5670', ' 2.93 GHz)  Dec 1', ' 2010 ']",3, 2010 ,Gateway GR180 F1(Intel Xeon X5670  2.93 GHz) ,Intel
Acer Incorporated,"AT310 F1  Feb 17, 2011 | HTML | Text",1,IBM,Intel Xeon X3470,2933,1,4,8,8,2004,"['AT310 F1  Feb 17', ' 2011 ']",2, 2011 ,AT310 F1  ,Intel
Acer Incorporated,"Gateway GW2000h-GW170h F1 Gateway GW2000h  Mar 23, 2011 | HTML | Text",4,IBM,Intel Xeon X5675,3067,8,48,96,48,2659,"['Gateway GW2000h-GW170h F1 Gateway GW2000h  Mar 23', ' 2011 ']",2, 2011 ,Gateway GW2000h-GW170h F1 Gateway GW2000h  ,Intel
Acer Incorporated,"Gateway GW2000h-GW170h F1 Gateway GW2000h  Mar 23, 2011 | HTML | Text",4,IBM,Intel Xeon X5675,3067,8,48,96,96,2795,"['Gateway GW2000h-GW170h F1 Gateway GW2000h  Mar 23', ' 2011 ']",2, 2011 ,Gateway GW2000h-GW170h F1 Gateway GW2000h  ,Intel
Acer Incorporated,"Acer AW2000h-AW170h F1 Acer AW2000h  Apr 7, 2011 | HTML | Text",4,IBM,Intel Xeon X5675,3067,8,48,96,96,2769,"['Acer AW2000h-AW170h F1 Acer AW2000h  Apr 7', ' 2011 ']",2, 2011 ,Acer AW2000h-AW170h F1 Acer AW2000h ,Intel
Acer Incorporated,"Gateway GR585 F1  May 4, 2011 | HTML | Text",1,IBM,AMD Opteron 6168,1900,4,48,48,32,2210,"['Gateway GR585 F1  May 4', ' 2011 ']",2, 2011 ,Gateway GR585 F1 ,AMD
Acer Incorporated,"Gateway GR585 F1  May 4, 2011 | HTML | Text",1,IBM,AMD Opteron 6176,2300,4,48,48,32,2350,"['Gateway GR585 F1  May 4', ' 2011 ']",2, 2011 ,Gateway GR585 F1 ,AMD
Acer Incorporated,"Gateway GR385 F1  May 5, 2011 | HTML | Text",1,IBM,AMD Opteron 6176,2300,2,24,24,16,2291,"['Gateway GR385 F1  May 5', ' 2011 ']",2, 2011 ,Gateway GR385 F1 ,AMD
Acer Incorporated,"Gateway GT350 F1  May 11, 2011 | HTML | Text",1,IBM,Intel Xeon X5675,3067,2,12,24,12,2462,"['Gateway GT350 F1  May 11', ' 2011 ']",2, 2011 ,Gateway GT350 F1  ,Intel
Acer Incorporated,"Gateway GT110 F2 (Intel Xeon E3-1270)  May 18, 2011 | HTML | Text",1,IBM,Intel Xeon E3-1270,3400,1,4,8,8,3270,"['Gateway GT110 F2 (Intel Xeon E3-1270)  May 18', ' 2011 ']",2, 2011 ,Gateway GT110 F2 (Intel Xeon E3-1270)  ,Intel
Acer Incorporated,"Acer AT110 F2 (Intel Xeon E3-1270)  May 18, 2011 | HTML | Text",1,IBM,Intel Xeon E3-1270,3400,1,4,8,8,3260,"['Acer AT110 F2 (Intel Xeon E3-1270)  May 18', ' 2011 ']",2, 2011 ,Acer AT110 F2 (Intel Xeon E3-1270)  ,Intel
Acer Incorporated,"Acer AC100  Sep 13, 2011 | HTML | Text",1,IBM,Intel Xeon E3-1260L,2400,1,4,8,8,3741,"['Acer AC100  Sep 13', ' 2011 ']",2, 2011 ,Acer AC100  ,Intel
Acer Incorporated,"Acer AR585 F1  Mar 14, 2012 | HTML | Text",1,IBM,AMD Opteron 6238,2600,4,48,48,64,2552,"['Acer AR585 F1  Mar 14', ' 2012 ']",2, 2012 ,Acer AR585 F1  ,AMD
Acer Incorporated,"Acer AR385 F1  Mar 14, 2012 | HTML | Text",1,IBM,AMD Opteron 6238,2600,2,24,24,32,2506,"['Acer AR385 F1  Mar 14', ' 2012 ']",2, 2012 ,Acer AR385 F1  ,AMD
Acer Incorporated,"Acer AR385 F1  Apr 4, 2012 | HTML | Text",1,IBM,AMD Opteron 6276,2300,2,32,32,32,2812,"['Acer AR385 F1  Apr 4', ' 2012 ']",2, 2012 ,Acer AR385 F1 ,AMD
Acer Incorporated,"Acer AR585 F1  Jun 5, 2012 | HTML | Text",1,IBM,AMD Opteron 6276,2300,4,64,64,64,2803,"['Acer AR585 F1  Jun 5', ' 2012 ']",2, 2012 ,Acer AR585 F1 ,AMD
Acer Incorporated,"Acer AR585 F1  Jun 14, 2012 | HTML | Text",1,IBM,AMD Opteron 6276,2300,4,64,64,256,2076,"['Acer AR585 F1  Jun 14', ' 2012 ']",2, 2012 ,Acer AR585 F1  ,AMD
Acer Incorporated,"Acer AR585 F1  Jun 14, 2012 | HTML | Text",1,IBM,AMD Opteron 6276,2300,4,64,64,256,2284,"['Acer AR585 F1  Jun 14', ' 2012 ']",2, 2012 ,Acer AR585 F1  ,AMD
Acer Incorporated,"Acer AR585 F1  Jun 21, 2012 | HTML | Text",1,IBM,AMD Opteron 6278,2400,4,64,64,64,2969,"['Acer AR585 F1  Jun 21', ' 2012 ']",2, 2012 ,Acer AR585 F1  ,AMD
Acer Incorporated,"Acer AR585 F1  Jun 21, 2012 | HTML | Text",1,IBM,AMD Opteron 6278,2400,4,64,64,256,2136,"['Acer AR585 F1  Jun 21', ' 2012 ']",2, 2012 ,Acer AR585 F1  ,AMD
Acer Incorporated,"Acer AR585 F1  Jun 21, 2012 | HTML | Text",1,IBM,AMD Opteron 6278,2400,4,64,64,256,2362,"['Acer AR585 F1  Jun 21', ' 2012 ']",2, 2012 ,Acer AR585 F1  ,AMD
Acer Incorporated,"Acer AR380 F2  Jul 11, 2012 | HTML | Text",1,Oracle,Intel Xeon E5-2630,2300,2,12,24,128,2219,"['Acer AR380 F2  Jul 11', ' 2012 ']",2, 2012 ,Acer AR380 F2  ,Intel
Acer Incorporated,"Acer AR380 F2  Jul 11, 2012 | HTML | Text",1,Oracle,Intel Xeon E5-2640,2500,2,12,24,128,2454,"['Acer AR380 F2  Jul 11', ' 2012 ']",2, 2012 ,Acer AR380 F2  ,Intel
Acer Incorporated,"Acer AR380 F2  Jul 11, 2012 | HTML | Text",1,Oracle,Intel Xeon E5-2665,2400,2,16,32,128,2705,"['Acer AR380 F2  Jul 11', ' 2012 ']",2, 2012 ,Acer AR380 F2  ,Intel
Acer Incorporated,"Acer AR380 F2  Jul 11, 2012 | HTML | Text",1,Oracle,Intel Xeon E5-2640,2500,2,12,24,32,2980,"['Acer AR380 F2  Jul 11', ' 2012 ']",2, 2012 ,Acer AR380 F2  ,Intel
Acer Incorporated,"Acer AT350 F2  Aug 8, 2012 | HTML | Text",1,Oracle,Intel Xeon E5-2640,2500,2,12,24,32,3031,"['Acer AT350 F2  Aug 8', ' 2012 ']",2, 2012 ,Acer AT350 F2 ,Intel
Acer Incorporated,"Acer AT350 F2  Aug 8, 2012 | HTML | Text",1,Oracle,Intel Xeon E5-2665,2400,2,16,32,128,2824,"['Acer AT350 F2  Aug 8', ' 2012 ']",2, 2012 ,Acer AT350 F2 ,Intel
Acer Incorporated,"Acer AT350 F2  Aug 8, 2012 | HTML | Text",1,Oracle,Intel Xeon E5-2630,2300,2,12,24,128,2330,"['Acer AT350 F2  Aug 8', ' 2012 ']",2, 2012 ,Acer AT350 F2 ,Intel
